Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
ffmpeg,BUG-044,aacenc_tns.c,166,ff_aac_search_for_tns,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3861_aacenc_tns.c_167_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_tns.c#L166
ffmpeg,BUG-045,float_dsp.c,130,avpriv_scalarproduct_float_c,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3833_acelp_pitch_delay.c_99_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/float_dsp.c#L130
ffmpeg,BUG-046,parseutils.c,415,__interceptor_strlen,heap-buffer-overflow,CWE-125,cpp_cwe-125-oob-read,1,3581_parseutils.c_415_local_cpp_cwe-125-oob-read,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/parseutils.c#L415
ffmpeg,BUG-047,avfft.c,184,av_rdft_calc,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3849_avfft.c_184_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/avfft.c#L184
ffmpeg,BUG-048,eaidct.c,67,ea_idct_col,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,4403_eaidct.c_67_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/eaidct.c#L67
ffmpeg,BUG-049,cavs.c,728,ff_cavs_init_pic,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,4370_cavs.c_733_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/cavs.c#L728
ffmpeg,BUG-050,cavs.c,642,ff_cavs_init_mb,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,4420_cavs.c_642_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/cavs.c#L642
ffmpeg,BUG-051,golomb.h,77,get_ue_golomb,stack-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,2,4477_evc_ps.c_374_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/golomb.h#L77
ffmpeg,BUG-052,codec_par.c,209,avcodec_parameters_to_context,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,486_codec_par.c_191_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/codec_par.c#L209
ffmpeg,BUG-053,cavs.c,365,ff_cavs_modify_mb_i,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,4982_cavs.c_365_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/cavs.c#L365
