Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
tif_dirwrite_1297_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_dirwrite.c	1297	TIFFWriteDirectorySec	CWE-190	0	0		true
tif_dirwrite_2594_integer-overflow-to-heap-buffer-overflow	NO_REPRODUCER	FP	integer-overflow-to-heap-buffer-overflow	tif_dirwrite.c	2594	TIFFWriteDirectoryTagCheckedRationalArray	CWE-190	0	0		true
tif_dirwrite_2630_integer-overflow-to-heap-buffer-overflow	NO_REPRODUCER	FP	integer-overflow-to-heap-buffer-overflow	tif_dirwrite.c	2630	TIFFWriteDirectoryTagCheckedSrationalArray	CWE-190	0	0		true
tif_dirwrite_2667_integer-overflow-to-heap-buffer-overflow	NO_REPRODUCER	FP	integer-overflow-to-heap-buffer-overflow	tif_dirwrite.c	2667	TIFFWriteDirectoryTagCheckedRationalDoubleArray	CWE-190	0	0		true
tif_dirwrite_2702_integer-overflow-to-heap-buffer-overflow	NO_REPRODUCER	FP	integer-overflow-to-heap-buffer-overflow	tif_dirwrite.c	2702	TIFFWriteDirectoryTagCheckedSrationalDoubleArray	CWE-190	0	0		true
tif_dumpmode_91_buffer-overflow	NO_REPRODUCER	FP	buffer-overflow	tif_dumpmode.c	91	DumpModeDecode	CWE-787	0	0		true
tif_extension_69_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_extension.c	69	TIFFGetClientInfo	CWE-476	0	0		true
tif_extension_87_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_extension.c	87	TIFFSetClientInfo	CWE-476	0	0		true
tif_extension_104_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_extension.c	104	TIFFSetClientInfo	CWE-476	0	0		true
tif_fax3_1172_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	tif_fax3.c	1172	Fax3Encode2DRow	CWE-125	0	0		true
tif_fax3_1185_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_fax3.c	1185	Fax3Encode2DRow	CWE-125	0	0		true
tif_fax3_1616_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_fax3.c	1616	Fax4Decode	CWE-369	0	0		true
tif_fax3_1691_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_fax3.c	1691	Fax4Encode	CWE-369	0	0		true
tif_fax3_1762_divide-by-zero	NO_REPRODUCER	FP	divide-by-zero	tif_fax3.c	1762	Fax3DecodeRLE	CWE-369	0	0		true
tif_getimage_2824_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_getimage.c	2824	makebwmap	CWE-369	0	0		true
tif_getimage_2972_divide-by-zero	NO_REPRODUCER	FP	divide-by-zero	tif_getimage.c	2972	makecmap	CWE-369	0	0		true
tif_hash_set_447_double-free	FP	REPRODUCER_BUILD_FAIL	double-free	tif_hash_set.c	447	TIFFHashSetInsert	CWE-415	0	0		true
tif_jbig_200_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	tif_jbig.c	200	JBIGEncode	CWE-125	0	0		true
tif_jpeg_2119_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	tif_jpeg.c	2119	JPEGSetupEncode	CWE-125	0	0		true
tif_lerc_1005_integer-overflow	NO_REPRODUCER	FP	integer-overflow	tif_lerc.c	1005	LERCEncode	CWE-190	0	0		true
tif_luv_236_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_luv.c	236	LogL16Decode	CWE-125	0	0		true
tif_luv_366_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_luv.c	366	LogLuvDecode32	CWE-125	0	0		true
tif_next_79_divide-by-zero	FP	REPRODUCER_BUILD_FAIL	divide-by-zero	tif_next.c	79	NeXTDecode	CWE-369	0	0		true
tif_ojpeg_1893_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	tif_ojpeg.c	1893	OJPEGReadHeaderInfoSecStreamSof	CWE-122	0	0		true
tif_ojpeg_1992_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	tif_ojpeg.c	1992	OJPEGReadHeaderInfoSecStreamSos	CWE-122	0	0		true
tif_ojpeg_2024_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_ojpeg.c	2024	OJPEGReadHeaderInfoSecTablesQTable	CWE-125	0	0		true
tif_ojpeg_2085_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_ojpeg.c	2085	OJPEGReadHeaderInfoSecTablesDcTable	CWE-125	0	0		true
tif_ojpeg_2155_out-of-bounds-read	NO_REPRODUCER	FP	out-of-bounds-read	tif_ojpeg.c	2155	OJPEGReadHeaderInfoSecTablesAcTable	CWE-125	0	0		true
tif_pixarlog_179_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:88	17	horizontalAccumulateF	CWE-787	0	0	BUG-030	
tif_pixarlog_253_out-of-bounds-write	FP	NOT_REPRODUCIBLE	out-of-bounds-write	tif_pixarlog.c	253	horizontalAccumulate12	CWE-787	0	0		true
tif_pixarlog_311_out-of-bounds-write	NO_REPRODUCER	FP	out-of-bounds-write	tif_pixarlog.c	311	horizontalAccumulate16	CWE-787	0	0		true
tif_pixarlog_378_out-of-bounds-write	FP	NOT_REPRODUCIBLE	out-of-bounds-write	tif_pixarlog.c	378	horizontalAccumulate11	CWE-787	0	0		true
tif_pixarlog_433_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:76	17	horizontalAccumulate8	CWE-787	0	0	BUG-027	
tif_pixarlog_1343_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	tif_pixarlog.c	1343	PixarLogEncode	CWE-125	0	0		true
tif_pixarlog_1507_null-pointer-dereference	NO_REPRODUCER	FP	null-pointer-dereference	tif_pixarlog.c	1507	PixarLogCleanup	CWE-476	0	0		true
